INPUT0, INPUT1, INPUT2, OUTPUT0, OUTPUT1, OUTPUT2, EXPECTED OUTPUT0, EXPECTED OUTPUT1, EXPECTED OUTPUT2, TEST RESULT0, TEST RESULT1, TEST RESULT3
0,39,0,0,-1,-1,0,-1,-1,OK
103,0,127,0,8,18,0,8,18,OK
-1,103,-1,35,46,56,35,46,56,OK
39,-1,-40,55,55,44,55,55,44,OK
-1,-104,-1,32,14,-5,32,14,-5,OK
-128,0,-104,-22,-41,-53,-22,-41,-53,OK
0,-40,0,-63,-62,-62,-63,-62,-62,OK
39,0,103,-51,-38,-20,-51,-38,-20,OK
0,127,-1,-2,16,35,-2,16,35,OK
103,-1,39,46,56,55,46,56,55,OK
-1,-40,-1,55,44,32,55,44,32,OK
-104,-1,-128,14,-5,-22,14,-5,-22,OK
0,-104,0,-41,-53,-63,-41,-53,-63,OK
-40,0,39,-62,-62,-51,-62,-62,-51,OK
0,103,0,-38,-20,-2,-38,-20,-2,OK
127,0,103,16,35,46,16,35,46,OK
-1,39,0,57,56,56,57,56,56,OK
-40,-1,-104,45,34,15,45,34,15,OK
-1,-128,0,-4,-21,-40,-4,-21,-40,OK
-104,0,-40,-53,-63,-62,-53,-63,-62,OK
0,39,0,-62,-51,-38,-62,-51,-38,OK
103,0,127,-20,-2,16,-20,-2,16,OK
0,103,-1,35,46,57,35,46,57,OK
39,-1,-40,56,56,45,56,56,45,OK
-1,-104,-1,33,14,-5,33,14,-5,OK
-128,0,-104,-22,-41,-53,-22,-41,-53,OK
0,-40,0,-63,-62,-62,-63,-62,-62,OK
39,0,103,-51,-38,-20,-51,-38,-20,OK
0,127,-1,-2,16,35,-2,16,35,OK
103,-1,39,46,56,55,46,56,55,OK
-1,-40,0,55,44,32,55,44,32,OK
-104,0,-128,14,-4,-21,14,-4,-21,OK
0,-104,-1,-39,-51,-61,-39,-51,-61,OK
-40,-1,39,-61,-62,-52,-61,-62,-52,OK
0,103,-1,-40,-22,-4,-40,-22,-4,OK
127,-1,103,15,33,45,15,33,45,OK
-1,39,-1,55,54,54,55,54,54,OK
-40,-1,-104,44,32,14,44,32,14,OK
-1,-128,-1,-5,-22,-41,-5,-22,-41,OK
-104,-1,-40,-53,-64,-63,-53,-64,-63,OK
0,39,-1,-64,-53,-40,-64,-53,-40,OK
103,0,127,-21,-4,15,-21,-4,15,OK
0,103,0,34,45,56,34,45,56,OK
39,-1,-40,56,57,46,56,57,46,OK
0,-104,0,34,15,-3,34,15,-3,OK
-128,0,-104,-21,-39,-51,-21,-39,-51,OK
-1,-40,0,-61,-61,-62,-61,-61,-62,OK
39,0,103,-52,-39,-21,-52,-39,-21,OK
0,127,-1,-3,16,35,-3,16,35,OK
103,-1,39,46,56,55,46,56,55,OK
0,-40,-1,55,44,33,55,44,33,OK
-104,-1,-128,15,-4,-21,15,-4,-21,OK
-1,-104,0,-40,-53,-64,-40,-53,-64,OK
-40,0,39,-63,-63,-52,-63,-63,-52,OK
-1,103,0,-39,-20,-3,-39,-20,-3,OK
127,0,103,15,34,45,15,34,45,OK
0,39,-1,56,56,57,56,56,57,OK
-40,-1,-104,46,34,15,46,34,15,OK
0,-128,0,-4,-22,-40,-4,-22,-40,OK
-104,0,-40,-52,-62,-61,-52,-62,-61,OK
0,39,0,-61,-51,-38,-61,-51,-38,OK
103,-1,127,-20,-2,16,-20,-2,16,OK
-1,103,0,34,45,55,34,45,55,OK
39,0,-40,54,55,45,54,55,45,OK
-1,-104,0,34,16,-3,34,16,-3,OK
-128,-1,-104,-21,-39,-52,-21,-39,-52,OK
0,-40,-1,-63,-62,-62,-63,-62,-62,OK
SIMULATION ENDED SUCCESSFULLY
SIMULATION ENDED SUCCESSFULLY
